frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.68, 0.00, 0.00, 0.00, 0.17, 0.35, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.034,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.67, 0.00, 0.00, 0.00, 0.26, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.068,  0.98,  1, 0.00, 0.00, 0.00, 0.01, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.37, 0.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.102,  0.98,  1, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.53, 0.37, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.136,  0.98,  1, 0.00, 0.00, 0.00, 0.11, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.59, 0.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.170,  0.98,  1, 0.00, 0.00, 0.00, 0.21, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.59, 0.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.203,  0.98,  1, 0.00, 0.00, 0.00, 0.45, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.53, 0.44, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.237,  0.98,  1, 0.00, 0.00, 0.00, 0.68, 0.00, 0.00, 0.35, 0.00, 0.00, 0.00, 0.51, 0.55, 0.00, 0.00, 0.03, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.271,  0.98,  1, 0.00, 0.00, 0.00, 0.91, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.53, 0.60, 0.00, 0.00, 0.06, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.305,  0.98,  1, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.28, 0.00, 0.00, 0.00, 0.54, 0.61, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.339,  0.98,  1, 0.00, 0.00, 0.00, 1.08, 0.00, 0.00, 0.25, 0.00, 0.00, 0.00, 0.52, 0.61, 0.00, 0.00, 0.29, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.373,  0.98,  1, 0.00, 0.00, 0.00, 1.12, 0.00, 0.00, 0.23, 0.00, 0.00, 0.00, 0.51, 0.59, 0.00, 0.00, 0.35, 0.17, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.407,  0.98,  1, 0.00, 0.00, 0.00, 1.02, 0.00, 0.00, 0.17, 0.00, 0.00, 0.00, 0.49, 0.58, 0.00, 0.00, 0.31, 0.22, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
14,  0,  0.441,  0.98,  1, 0.00, 0.00, 0.00, 0.65, 0.00, 0.00, 0.14, 0.00, 0.00, 0.00, 0.45, 0.59, 0.00, 0.00, 0.23, 0.16, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
15,  0,  0.475,  0.98,  1, 0.00, 0.00, 0.05, 0.29, 0.00, 0.00, 0.17, 0.00, 0.07, 0.00, 0.38, 0.54, 0.00, 0.00, 0.15, 0.09, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
16,  0,  0.509,  0.98,  1, 0.00, 0.00, 0.11, 0.00, 0.00, 0.00, 0.15, 0.00, 0.16, 0.01, 0.35, 0.51, 0.00, 0.00, 0.14, 0.03, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
