frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1, 1.40, 1.52, 1.40, 0.00, 0.52, 0.43, 0.00, 1.41, 0.74, 1.77, 0.00, 0.00, 0.16, 0.54, 0.10, 0.11, 2.12, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
2,  0,  0.008,  0.98,  1, 1.20, 0.72, 1.16, 0.00, 0.68, 0.45, 0.00, 1.87, 0.67, 1.87, 0.03, 0.09, 0.19, 0.57, 0.07, 0.04, 2.10, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
3,  0,  0.017,  0.98,  1, 1.25, 0.70, 1.08, 0.00, 0.72, 0.42, 0.00, 2.05, 0.73, 1.95, 0.04, 0.09, 0.15, 0.47, 0.04, 0.00, 2.24, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
4,  0,  0.025,  0.88,  1, 1.39, 0.95, 1.07, 0.00, 0.81, 0.35, 0.00, 2.13, 0.72, 2.06, 0.01, 0.25, 0.29, 0.32, 0.00, 0.00, 2.24, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
5,  0,  0.033,  0.98,  1, 1.72, 1.16, 1.16, 0.00, 0.83, 0.30, 0.00, 2.09, 0.84, 1.80, 0.03, 0.22, 0.27, 0.09, 0.00, 0.00, 2.24, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
6,  0,  0.042,  0.98,  1, 1.84, 0.75, 1.25, 0.00, 1.02, 0.19, 0.00, 2.23, 0.87, 1.68, 0.03, 0.29, 0.32, 0.01, 0.00, 0.00, 2.18, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
7,  0,  0.050,  0.93,  1, 2.01, 0.80, 1.34, 0.00, 1.04, 0.05, 0.00, 2.33, 0.93, 1.71, 0.08, 0.21, 0.21, 0.00, 0.00, 0.00, 2.39, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
8,  0,  0.058,  0.98,  1, 2.12, 0.95, 1.36, 0.00, 1.09, 0.00, 0.00, 2.39, 0.97, 1.94, 0.17, 0.26, 0.09, 0.00, 0.00, 0.00, 2.30, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
9,  0,  0.067,  0.98,  1, 2.40, 1.40, 1.18, 0.00, 0.95, 0.00, 0.00, 2.37, 0.95, 1.95, 0.17, 0.33, 0.04, 0.00, 0.00, 0.00, 2.26, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00
10,  0,  0.075,  0.98,  1, 2.56, 1.50, 1.26, 0.00, 0.94, 0.01, 0.00, 2.39, 1.00, 1.98, 0.11, 0.30, 0.00, 0.00, 0.00, 0.00, 2.16, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
11,  0,  0.083,  0.98,  1, 2.67, 1.68, 1.35, 0.00, 0.99, 0.01, 0.00, 2.38, 0.96, 2.05, 0.04, 0.32, 0.00, 0.00, 0.00, 0.00, 2.26, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
12,  0,  0.092,  0.93,  1, 2.55, 1.59, 1.45, 0.00, 1.03, 0.01, 0.00, 2.40, 0.94, 2.19, 0.08, 0.30, 0.00, 0.00, 0.00, 0.00, 2.21, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
13,  0,  0.100,  0.93,  1, 2.27, 1.33, 1.29, 0.00, 0.95, 0.00, 0.00, 2.29, 0.81, 2.25, 0.08, 0.39, 0.00, 0.00, 0.00, 0.00, 2.11, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
14,  0,  0.108,  0.93,  1, 2.00, 0.96, 1.08, 0.00, 0.90, 0.00, 0.00, 2.30, 0.81, 2.02, 0.04, 0.39, 0.00, 0.00, 0.00, 0.00, 2.03, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
15,  0,  0.117,  0.98,  1, 1.77, 1.01, 1.03, 0.00, 0.97, 0.03, 0.00, 2.27, 0.84, 1.88, 0.13, 0.41, 0.00, 0.00, 0.00, 0.00, 1.97, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
16,  0,  0.125,  0.98,  1, 1.84, 0.99, 0.95, 0.00, 1.02, 0.03, 0.00, 2.32, 0.90, 1.86, 0.13, 0.29, 0.00, 0.00, 0.00, 0.00, 2.12, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
17,  0,  0.133,  0.98,  1, 1.83, 0.92, 1.10, 0.00, 1.05, 0.03, 0.00, 2.46, 0.88, 2.00, 0.13, 0.38, 0.00, 0.00, 0.00, 0.00, 2.15, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
18,  0,  0.142,  0.93,  1, 1.88, 0.67, 1.30, 0.00, 1.07, 0.00, 0.00, 2.48, 0.87, 1.98, 0.00, 0.37, 0.00, 0.00, 0.00, 0.00, 1.92, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
19,  0,  0.150,  0.98,  1, 1.77, 0.48, 1.55, 0.00, 1.08, 0.00, 0.00, 2.42, 0.83, 1.82, 0.17, 0.37, 0.00, 0.00, 0.00, 0.00, 1.45, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00
